S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error
33.425,106.5,0.892,-0.338778,0.974294,0.933637,0.894388,0.860395,0.831656,0.799435,0.763731,0.735737,0.715454,0.693617,0.00431125,0.00458125,0.00485775,0.0051675,0.0055105,0.00583775,0.00614925,0.0065485,0.0070355,0.0075315
27.039,93.9,0.66,0.499923,0.966368,0.938991,0.916933,0.892928,0.866974,0.850379,0.84314,0.834733,0.825159,0.814598,0.00476575,0.00520625,0.00570875,0.00624025,0.00680075,0.00750375,0.00834925,0.0092895,0.0103245,0.0114608
33.013,101.1,0.852,0.234742,1.00292,0.978799,0.96085,0.943514,0.92679,0.915746,0.910383,0.89722,0.876257,0.864661,0.00476225,0.0052185,0.0057255,0.006291,0.006915,0.00763575,0.00845325,0.00929,0.010146,0.0111863
31.983,111.9,0.908,0.0962965,0.964952,0.936122,0.910902,0.889811,0.872852,0.856254,0.840018,0.827334,0.818203,0.806779,0.00451725,0.00490875,0.00533025,0.00581225,0.00635475,0.00694525,0.00758375,0.00831725,0.00914575,0.0100208
30.129,83.1,0.748,-0.213489,0.951936,0.9112,0.873209,0.835398,0.797767,0.766731,0.74229,0.718514,0.695401,0.677201,0.00446175,0.00475775,0.00507125,0.00538625,0.00570275,0.006082,0.006524,0.00701825,0.00756475,0.00819425
31.777,92.1,0.828,0.241546,1.01457,0.988623,0.963032,0.940687,0.921586,0.902419,0.883185,0.871063,0.866052,0.860437,0.00484475,0.00529775,0.00577325,0.00631125,0.00691175,0.00756125,0.00825975,0.00911725,0.0101338,0.0112565
35.485,57.9,0.916,0.170044,1.0955,1.07204,1.05185,1.03324,1.01621,1.00229,0.991487,0.974337,0.950844,0.940382,0.0050615,0.00558375,0.00615325,0.00678575,0.00748125,0.00827475,0.00916625,0.0100595,0.0109545,0.0121218
26.421,54.3,0.788,-0.00484982,0.976564,0.935439,0.900689,0.870306,0.84429,0.818223,0.792106,0.767915,0.74565,0.728392,0.00464925,0.00499175,0.00536725,0.0057925,0.0062675,0.006773,0.007309,0.007919,0.008603,0.00941425
29.717,32.7,0.708,-0.162374,1.04112,0.998095,0.956518,0.914809,0.872968,0.838593,0.811686,0.783625,0.754409,0.727151,0.00489025,0.00524075,0.00560425,0.0059745,0.0063515,0.00682125,0.00738375,0.00794725,0.00851175,0.00915275
28.275,86.7,0.972,0.115565,0.97479,0.946587,0.92393,0.903304,0.884709,0.864931,0.84397,0.833257,0.832794,0.823866,0.00451775,0.00492325,0.00536375,0.00585025,0.00638275,0.00695775,0.00757525,0.00835525,0.00929775,0.0102083
27.657,79.5,0.612,0.608346,1.03149,1.00321,0.973599,0.94855,0.928064,0.910654,0.896319,0.884498,0.875191,0.868814,0.00506,0.0055335,0.0060425,0.00662975,0.00729525,0.008069,0.008951,0.0099815,0.0111605,0.012548
26.009,95.7,0.996,-0.414424,0.89023,0.836878,0.786207,0.742352,0.705312,0.668324,0.631387,0.597607,0.566985,0.539501,0.00377125,0.00392775,0.00408525,0.00426375,0.00446325,0.00466025,0.00485475,0.0050765,0.0053255,0.00559625
30.747,63.3,0.716,0.303752,1.04996,1.01786,0.985848,0.964466,0.953709,0.93734,0.915358,0.898025,0.88534,0.874253,0.00507575,0.0055315,0.0060145,0.00661825,0.00734275,0.00809125,0.00886375,0.0097645,0.0107935,0.012008
28.069,41.7,0.884,0.0262493,1.02774,0.98914,0.952457,0.923108,0.901093,0.876127,0.848211,0.824675,0.805519,0.795111,0.00479825,0.00518725,0.00559175,0.00607625,0.00664075,0.00720725,0.00777575,0.00844425,0.00921275,0.0101655
31.365,72.3,0.692,0.00623778,0.999085,0.961666,0.926236,0.894655,0.866922,0.841203,0.817495,0.797324,0.780688,0.766071,0.00484675,0.00522175,0.00561925,0.00605825,0.00653875,0.00707825,0.00767675,0.0083785,0.0091835,0.0100982
29.305,97.5,0.732,-0.286772,0.911112,0.869721,0.835186,0.800942,0.766988,0.733568,0.700682,0.67701,0.662553,0.647954,0.0041815,0.00442925,0.00471575,0.005005,0.005297,0.005601,0.005917,0.00633875,0.00686625,0.00743875
25.803,45.3,0.82,-0.284247,0.958681,0.904182,0.852294,0.805658,0.764274,0.726129,0.691222,0.656415,0.621708,0.594511,0.00438325,0.0046135,0.0048425,0.00508975,0.00535525,0.0056515,0.0059785,0.00630725,0.00663775,0.007061
31.571,38.1,0.764,-0.0156028,1.06164,1.02627,0.995695,0.963691,0.930262,0.90218,0.879447,0.856194,0.832421,0.806815,0.005006,0.0054345,0.0059115,0.00640075,0.00690225,0.00748075,0.00813625,0.00885675,0.00964225,0.0104615
30.953,70.5,0.652,0.60351,1.07819,1.05307,1.03124,1.01263,0.997227,0.981333,0.964944,0.95357,0.94721,0.938778,0.00519425,0.00572025,0.00631075,0.0069835,0.0077385,0.00857575,0.00949525,0.0106043,0.0119028,0.0133615
34.661,68.7,0.844,0.115315,1.06365,1.03346,1.00844,0.986395,0.967317,0.944097,0.916737,0.902366,0.900983,0.892452,0.00502425,0.00549275,0.00600625,0.00657725,0.00720575,0.0078535,0.0085205,0.009399,0.010489,0.0115995
26.627,88.5,0.676,0.0806885,0.913366,0.877001,0.8458,0.819774,0.798922,0.776065,0.751202,0.734105,0.724774,0.707913,0.004471,0.004795,0.005155,0.005573,0.006049,0.00655625,0.00709475,0.007761,0.008555,0.00935
30.335,115.5,0.62,0.655965,0.979752,0.95399,0.93435,0.915601,0.897742,0.881531,0.866969,0.856602,0.850429,0.842114,0.00487525,0.0053395,0.0058665,0.006451,0.007093,0.00783875,0.00868825,0.00969375,0.0108553,0.0121397
28.893,119.1,0.988,-0.348398,0.882478,0.838547,0.80249,0.770196,0.741664,0.713225,0.684878,0.657326,0.63057,0.606491,0.00380275,0.004006,0.004232,0.004483,0.004759,0.00504725,0.00534775,0.00566975,0.00601325,0.006396
28.687,113.7,0.836,0.115091,0.91119,0.88122,0.856291,0.833289,0.812215,0.794936,0.78145,0.769859,0.760162,0.756105,0.00431025,0.004663,0.005055,0.00548875,0.00596425,0.0065025,0.0071035,0.007809,0.008619,0.0095785
27.451,99.3,0.804,0.00154507,0.91197,0.877619,0.8449,0.817082,0.794165,0.773127,0.753968,0.734821,0.715686,0.70342,0.0043205,0.0046435,0.0049865,0.0053765,0.0058135,0.00629775,0.00682925,0.00741275,0.00804825,0.00881425
33.837,36.3,0.868,-0.155116,1.08278,1.04562,1.00909,0.972907,0.93706,0.903468,0.87213,0.840466,0.808476,0.779619,0.0049735,0.00538575,0.00580525,0.006249,0.006717,0.0072265,0.0077775,0.00836175,0.00897925,0.00965825
32.807,117.3,0.668,0.284885,0.954897,0.923752,0.897765,0.87654,0.860076,0.843683,0.82736,0.818442,0.816931,0.809852,0.0047355,0.005127,0.005569,0.0060905,0.0066915,0.00734425,0.00804875,0.008925,0.009973,0.011085
30.541,47.1,0.796,0.209161,1.06501,1.03576,1.01085,0.986631,0.963105,0.943254,0.927081,0.912933,0.900813,0.893199,0.005046,0.005526,0.00606,0.00663725,0.00725775,0.00796975,0.00877325,0.00967575,0.0106773,0.0118712
32.189,84.9,0.932,-0.124643,0.990392,0.954989,0.926712,0.897496,0.867339,0.837077,0.806711,0.782491,0.764416,0.745437,0.00457275,0.00493525,0.00533775,0.00576,0.006202,0.00665625,0.00712275,0.00768025,0.00832875,0.00902125
32.601,34.5,0.948,0.0185829,1.09734,1.06526,1.02971,0.998845,0.972664,0.951319,0.934808,0.914775,0.89122,0.868605,0.0050265,0.00548925,0.00595375,0.00647175,0.00704325,0.00770925,0.00846975,0.00925975,0.0100792,0.0109873
29.923,77.7,0.94,-0.53617,1.01324,0.95173,0.894806,0.839069,0.78452,0.734445,0.688845,0.642553,0.595571,0.557046,0.00421025,0.00436175,0.00451525,0.004657,0.004787,0.00492675,0.00507625,0.00520525,0.00531375,0.00547975
26.833,75.9,0.756,0.347142,0.982761,0.951918,0.930203,0.914225,0.903985,0.888657,0.86824,0.859731,0.86313,0.854294,0.004754,0.00517875,0.00566825,0.006244,0.006906,0.007587,0.008287,0.00922225,0.0103927,0.0115172
28.481,52.5,0.9,0.125889,1.03527,1.00474,0.977713,0.950815,0.924049,0.904112,0.891006,0.879418,0.869349,0.857946,0.0048345,0.005275,0.005749,0.006266,0.006826,0.00747325,0.00820775,0.00904525,0.00998575,0.0110215
29.511,39.9,0.876,0.193685,1.07101,1.04365,1.01953,0.997968,0.978948,0.963107,0.950442,0.935234,0.917484,0.90579,0.00498575,0.005472,0.006002,0.00658925,0.00723375,0.00798225,0.00883475,0.00973425,0.0106808,0.0118227
34.455,110.1,0.924,0.02405,0.993756,0.960198,0.929649,0.906712,0.891387,0.873654,0.853511,0.838256,0.827886,0.817328,0.004633,0.00502175,0.00543925,0.005929,0.006491,0.00707575,0.00768325,0.00839475,0.00921025,0.0101055
34.043,50.7,0.644,0.325801,1.10563,1.07864,1.05338,1.03096,1.01137,0.992285,0.973696,0.958165,0.945692,0.931768,0.0052885,0.00580625,0.00637875,0.0070295,0.0077585,0.00855675,0.00942425,0.010448,0.011628,0.0129617
26.215,102.9,0.78,0.0986193,0.89526,0.862478,0.830475,0.806828,0.791539,0.7743,0.755111,0.742627,0.736849,0.727921,0.004275,0.00460025,0.00494275,0.00536525,0.00586775,0.0063875,0.0069245,0.00759625,0.00840275,0.0092805
27.863,81.3,0.684,-0.0194932,0.931676,0.894108,0.865184,0.83178,0.793895,0.768502,0.7556,0.742012,0.727738,0.709592,0.0045275,0.0048475,0.0052185,0.00558775,0.00595525,0.006448,0.007066,0.007734,0.008452,0.0092145
33.631,59.7,0.604,0.538311,1.1201,1.09911,1.07881,1.05993,1.04247,1.02956,1.0212,1.00437,0.979073,0.964027,0.005322,0.0058795,0.0064945,0.0071935,0.0079765,0.0088915,0.0099385,0.0110402,0.0121967,0.0136775
31.159,43.5,0.98,-0.135661,1.04327,1.00354,0.969797,0.933462,0.894539,0.859917,0.829598,0.800063,0.771314,0.740171,0.00475075,0.00513725,0.00556375,0.0059885,0.0064115,0.006876,0.007382,0.00794175,0.00855525,0.00914875
35.073,56.1,0.7,0.285714,1.10036,1.07518,1.05091,1.02921,1.01008,0.991487,0.973424,0.956515,0.940759,0.922241,0.00527425,0.0057995,0.0063685,0.00700175,0.00769925,0.00848675,0.00936425,0.010353,0.011453,0.0126333
32.395,66.9,0.86,-0.00679995,1.03535,1.00127,0.968412,0.940722,0.918196,0.892358,0.863206,0.839878,0.822371,0.809099,0.00487675,0.00529075,0.00571625,0.006205,0.006757,0.00733075,0.00792625,0.00859975,0.00935125,0.0102763
34.867,61.5,0.628,0.334495,1.0961,1.0701,1.04773,1.02496,1.0018,0.984803,0.973984,0.961651,0.947804,0.929938,0.00527725,0.00579775,0.00638725,0.00702975,0.00772525,0.00854675,0.00949425,0.010574,0.011786,0.0130397
29.099,90.3,0.636,0.442384,0.989611,0.959152,0.932553,0.910712,0.893628,0.874466,0.853225,0.842093,0.841071,0.830572,0.00489925,0.00533425,0.00582075,0.0063915,0.0070465,0.0077415,0.0084765,0.0094375,0.0106245,0.011865
33.219,108.3,0.772,-0.0839736,0.953257,0.919281,0.891018,0.86282,0.834686,0.808236,0.783471,0.763901,0.749527,0.736129,0.00453075,0.00487425,0.00524875,0.00565375,0.00608925,0.00656225,0.00707275,0.007662,0.00833,0.0091035
27.245,48.9,0.956,-0.296257,0.971837,0.916205,0.86439,0.814295,0.765922,0.725643,0.693458,0.656843,0.615796,0.582417,0.00436775,0.004601,0.004841,0.00506425,0.00527075,0.0055495,0.0059005,0.0062075,0.0064705,0.00681175
35.897,65.1,0.74,0.0610288,1.07165,1.0394,1.007,0.981303,0.962301,0.940628,0.916287,0.896164,0.880258,0.862885,0.00512825,0.005582,0.006056,0.00661,0.007244,0.007912,0.008614,0.009423,0.010339,0.0113735
35.279,74.1,0.724,-0.145502,1.03879,0.999221,0.96346,0.930813,0.901277,0.873756,0.848249,0.825862,0.806594,0.782709,0.00492125,0.0052945,0.0057035,0.006136,0.006592,0.0071015,0.0076645,0.00830625,0.00902675,0.00976675
34.249,104.7,0.812,0.236502,1.0161,0.989218,0.965251,0.946009,0.931493,0.917367,0.903634,0.888864,0.873059,0.864625,0.00487625,0.00533,0.005818,0.00637725,0.00700775,0.00770325,0.00846375,0.00929725,0.0102037,0.011334
